token_id,Fur Color,Headwear,Eyewear,Outfit,Neck Accessory,Expression,Background Color
1,sand brown,wide brim hat,square sunglasses,plaid overshirt,diamond dog tag,confident,bright orange
2,cream,flat cap,luxury black sunglasses,yellow designer jacket,silver pendant chain,luxury smirk,bright cyan
3,cream,beret,square sunglasses,galaxy print jacket,none,luxury smirk,bright teal
4,golden brown,none,sport sunglasses,black leather jacket,silver pendant chain,serious,bright cyan
5,charcoal black,bowler hat,square sunglasses,orange bomber jacket,gold cuban chain,luxury smirk,bright teal
6,ash gray,baseball cap,gold rim sunglasses,purple velvet blazer,gold cuban chain,relaxed,bright lavender
7,ivory,wide brim hat,square sunglasses,purple velvet blazer,gold cuban chain,relaxed,bright lavender
8,silver gray,baseball cap,square sunglasses,black luxury shirt,silver cuban chain,luxury smirk,bright blue
9,ash gray,newsboy cap,gold rim sunglasses,rockstar stage jacket,thick gold chain,relaxed,bright blue
10,charcoal black,cowboy hat,none,luxury streetwear hoodie,gold pendant chain,relaxed,bright lavender
11,ash gray,newsboy cap,aviator sunglasses,black leather jacket,silver cuban chain,calm,bright yellow
12,jet black,bowler hat,round sunglasses,luxury streetwear hoodie,gold pendant chain,calm,bright pink
13,ash gray,cowboy hat,luxury black sunglasses,black leather jacket,none,luxury smirk,bright cyan
14,jet black,newsboy cap,aviator sunglasses,blue luxury shirt,gold pendant chain,luxury smirk,bright lavender
15,sand brown,cowboy hat,luxury black sunglasses,denim jacket,silver cuban chain,calm,bright yellow
16,walnut brown,wide brim hat,round sunglasses,racing jacket,gold cuban chain,determined,bright yellow
17,ivory,wide brim hat,round sunglasses,multicolor graffiti jacket,gold pendant chain,calm,bright coral
18,cream,flat cap,sport sunglasses,white suit jacket,gold pendant chain,luxury smirk,bright yellow
19,sand brown,beret,aviator sunglasses,plaid overshirt,silver cuban chain,determined,bright purple
20,cream,cowboy hat,none,red luxury shirt,gold cuban chain,serious,bright lime
21,jet black,newsboy cap,luxury black sunglasses,luxury streetwear hoodie,none,confident,bright lavender
22,dark brown,beret,square sunglasses,denim jacket,thick gold chain,determined,bright pink
23,silver gray,newsboy cap,aviator sunglasses,racing jacket,gold pendant chain,determined,bright yellow
24,charcoal black,baseball cap,luxury black sunglasses,multicolor graffiti jacket,gold pendant chain,calm,bright red
25,cream,newsboy cap,aviator sunglasses,black leather jacket,diamond dog tag,calm,bright lime
26,charcoal black,flat cap,round sunglasses,yellow designer jacket,none,calm,bright cyan
